city,lat,lng,country,admin_name,GB
Hefei,31.8639,117.2808,China,Anhui,31
Beijing,39.905,116.3914,China,Beijing,11
Chongqing,29.5628,106.5528,China,Chongqing,50
Fuzhou,26.0769,119.2917,China,Fujian,35
Lanzhou,36.0617,103.8318,China,Gansu,62
Guangzhou,23.1288,113.259,China,Guangdong,44
Nanning,22.8192,108.315,China,Guangxi,45
Guiyang,26.5794,106.7078,China,Guizhou,52
Haikou,20.02,110.32,China,Hainan,46
Shijiazhuang,38.0422,114.5086,China,Hebei,13
Harbin,45.75,126.6333,China,Heilongjiang,23
Zhengzhou,34.7492,113.6605,China,Henan,41
Wuhan,30.5872,114.2881,China,Hubei,42
Changsha,28.1987,112.9709,China,Hunan,43
Hohhot,40.8151,111.6629,China,Nei Mongolia,15
Nanjing,32.05,118.7667,China,Jiangsu,32
Nanchang,28.6842,115.8872,China,Jiangxi,36
Changchun,43.9,125.2,China,Jilin,22
Shenyang,41.8039,123.4258,China,Liaoning,21
Yinchuan,38.4795,106.2254,China,Ningxia,64
Xining,36.6239,101.7787,China,Qinghai,63
Xi'an,34.2667,108.9,China,Shaanxi,61
Jinan,36.6667,116.9833,China,Shandong,37
Shanghai,31.1667,121.4667,China,Shanghai,31
Taiyuan,37.8733,112.5425,China,Shanxi,14
Chengdu,30.66,104.0633,China,Sichuan,51
Tianjin,39.1467,117.2056,China,Tianjin,12
Lhasa,29.65,91.1,China,Tibet,54
Ürümqi,43.8225,87.6125,China,Xinjiang,65
Kunming,25.0433,102.7061,China,Yunnan,53
Hangzhou,30.25,120.1675,China,Zhejiang,33